"GO.ID"	"Term"	"Annotated"	"Significant"	"Expected"	"Fisher"
"GO:0006548"	"histidine catabolic process"	4	3	0.03	"2.3e-06"
"GO:0006412"	"translation"	495	16	4.18	"3.2e-06"
"GO:1904667"	"negative regulation of ubiquitin protein ligase activity"	6	3	0.05	"1.1e-05"
"GO:0010951"	"negative regulation of endopeptidase activity"	93	7	0.79	"1.3e-05"
"GO:0042730"	"fibrinolysis"	18	4	0.15	"1.3e-05"
"GO:0006637"	"acyl-CoA metabolic process"	70	6	0.59	"2.6e-05"
"GO:0006544"	"glycine metabolic process"	10	4	0.08	"4.6e-05"
"GO:0000050"	"urea cycle"	9	3	0.08	"4.7e-05"
"GO:0006091"	"generation of precursor metabolites and energy"	295	16	2.49	"6.7e-05"
"GO:0072377"	"blood coagulation, common pathway"	2	2	0.02	"7.0e-05"
"GO:0006094"	"gluconeogenesis"	54	6	0.46	"0.00014"
"GO:0061624"	"fructose catabolic process to hydroxyacetone phosphate and g..."	3	2	0.03	"0.00021"
"GO:0061625"	"glycolytic process through fructose-1-phosphate"	3	2	0.03	"0.00021"
"GO:0002034"	"maintenance of blood vessel diameter homeostasis by renin-an..."	3	2	0.03	"0.00021"
"GO:0045337"	"farnesyl diphosphate biosynthetic process"	3	2	0.03	"0.00021"
"GO:0006565"	"L-serine catabolic process"	4	2	0.03	"0.00042"
"GO:0006641"	"triglyceride metabolic process"	87	5	0.73	"0.00082"
"GO:0008285"	"negative regulation of cell population proliferation"	494	12	4.17	"0.00087"
"GO:0042866"	"pyruvate biosynthetic process"	6	2	0.05	"0.00103"
"GO:0046498"	"S-adenosylhomocysteine metabolic process"	6	2	0.05	"0.00103"
