"GO.ID"	"Term"	"Annotated"	"Significant"	"Expected"	"Fisher"
"GO:0006695"	"cholesterol biosynthetic process"	37	5	0.06	"2.1e-07"
"GO:0033344"	"cholesterol efflux"	42	3	0.07	"4.1e-05"
"GO:0046470"	"phosphatidylcholine metabolic process"	47	4	0.08	"4.4e-05"
"GO:0030300"	"regulation of intestinal cholesterol absorption"	7	2	0.01	"5.3e-05"
"GO:0010873"	"positive regulation of cholesterol esterification"	7	2	0.01	"5.3e-05"
"GO:0033700"	"phospholipid efflux"	13	3	0.02	"8.0e-05"
"GO:0034380"	"high-density lipoprotein particle assembly"	10	2	0.02	"0.00011"
"GO:0051006"	"positive regulation of lipoprotein lipase activity"	10	2	0.02	"0.00011"
"GO:0010898"	"positive regulation of triglyceride catabolic process"	11	2	0.02	"0.00014"
"GO:0042572"	"retinol metabolic process"	11	2	0.02	"0.00014"
"GO:0043691"	"reverse cholesterol transport"	11	2	0.02	"0.00014"
"GO:0006633"	"fatty acid biosynthetic process"	103	5	0.17	"0.00018"
"GO:0060192"	"negative regulation of lipase activity"	15	2	0.02	"0.00026"
"GO:0042157"	"lipoprotein metabolic process"	104	4	0.17	"0.00048"
"GO:0045723"	"positive regulation of fatty acid biosynthetic process"	23	2	0.04	"0.00063"
"GO:0006084"	"acetyl-CoA metabolic process"	32	2	0.05	"0.00123"
"GO:0070328"	"triglyceride homeostasis"	33	2	0.05	"0.00130"
"GO:1905920"	"positive regulation of CoA-transferase activity"	1	1	0	"0.00165"
"GO:0033489"	"cholesterol biosynthetic process via desmosterol"	1	1	0	"0.00165"
"GO:0048807"	"female genitalia morphogenesis"	1	1	0	"0.00165"
