"GO.ID"	"Term"	"Annotated"	"Significant"	"Expected"	"Fisher"
"GO:0002181"	"cytoplasmic translation"	79	22	1.82	"2.1e-18"
"GO:0006412"	"translation"	484	49	11.16	"8.3e-08"
"GO:0000028"	"ribosomal small subunit assembly"	19	7	0.44	"1.3e-07"
"GO:0150105"	"protein localization to cell-cell junction"	21	5	0.48	"9.4e-05"
"GO:0042989"	"sequestering of actin monomers"	5	3	0.12	"0.00012"
"GO:0000027"	"ribosomal large subunit assembly"	23	5	0.53	"0.00015"
"GO:0010873"	"positive regulation of cholesterol esterification"	7	3	0.16	"0.00039"
"GO:1905541"	"regulation of L-arginine import across plasma membrane"	2	2	0.05	"0.00053"
"GO:0010951"	"negative regulation of endopeptidase activity"	85	8	1.96	"0.00074"
"GO:0010043"	"response to zinc ion"	20	4	0.46	"0.00100"
"GO:0034380"	"high-density lipoprotein particle assembly"	10	3	0.23	"0.00129"
"GO:0034375"	"high-density lipoprotein particle remodeling"	10	3	0.23	"0.00129"
"GO:0050994"	"regulation of lipid catabolic process"	54	6	1.24	"0.00144"
"GO:0032374"	"regulation of cholesterol transport"	22	4	0.51	"0.00145"
"GO:0045337"	"farnesyl diphosphate biosynthetic process"	3	2	0.07	"0.00156"
"GO:0043691"	"reverse cholesterol transport"	11	3	0.25	"0.00174"
"GO:0070278"	"extracellular matrix constituent secretion"	12	3	0.28	"0.00228"
"GO:0070508"	"cholesterol import"	13	3	0.3	"0.00291"
"GO:0060192"	"negative regulation of lipase activity"	13	3	0.3	"0.00291"
"GO:0033700"	"phospholipid efflux"	13	3	0.3	"0.00291"
